Match,T1P1 vs T2P6 runs,T1P1 vs T2P6 balls,T1P1 vs T2P6 wickets,T1P1 vs T2P7 runs,T1P1 vs T2P7 balls,T1P1 vs T2P7 wickets,T1P1 vs T2P8 runs,T1P1 vs T2P8 balls,T1P1 vs T2P8 wickets,T1P1 vs T2P9 runs,T1P1 vs T2P9 balls,T1P1 vs T2P9 wickets,T1P1 vs T2P10 runs,T1P1 vs T2P10 balls,T1P1 vs T2P10 wickets,T1P1 vs T2P11 runs,T1P1 vs T2P11 balls,T1P1 vs T2P11 wickets,T1P2 vs T2P6 runs,T1P2 vs T2P6 balls,T1P2 vs T2P6 wickets,T1P2 vs T2P7 runs,T1P2 vs T2P7 balls,T1P2 vs T2P7 wickets,T1P2 vs T2P8 runs,T1P2 vs T2P8 balls,T1P2 vs T2P8 wickets,T1P2 vs T2P9 runs,T1P2 vs T2P9 balls,T1P2 vs T2P9 wickets,T1P2 vs T2P10 runs,T1P2 vs T2P10 balls,T1P2 vs T2P10 wickets,T1P2 vs T2P11 runs,T1P2 vs T2P11 balls,T1P2 vs T2P11 wickets,T1P3 vs T2P6 runs,T1P3 vs T2P6 balls,T1P3 vs T2P6 wickets,T1P3 vs T2P7 runs,T1P3 vs T2P7 balls,T1P3 vs T2P7 wickets,T1P3 vs T2P8 runs,T1P3 vs T2P8 balls,T1P3 vs T2P8 wickets,T1P3 vs T2P9 runs,T1P3 vs T2P9 balls,T1P3 vs T2P9 wickets,T1P3 vs T2P10 runs,T1P3 vs T2P10 balls,T1P3 vs T2P10 wickets,T1P3 vs T2P11 runs,T1P3 vs T2P11 balls,T1P3 vs T2P11 wickets,T1P4 vs T2P6 runs,T1P4 vs T2P6 balls,T1P4 vs T2P6 wickets,T1P4 vs T2P7 runs,T1P4 vs T2P7 balls,T1P4 vs T2P7 wickets,T1P4 vs T2P8 runs,T1P4 vs T2P8 balls,T1P4 vs T2P8 wickets,T1P4 vs T2P9 runs,T1P4 vs T2P9 balls,T1P4 vs T2P9 wickets,T1P4 vs T2P10 runs,T1P4 vs T2P10 balls,T1P4 vs T2P10 wickets,T1P4 vs T2P11 runs,T1P4 vs T2P11 balls,T1P4 vs T2P11 wickets,T1P5 vs T2P6 runs,T1P5 vs T2P6 balls,T1P5 vs T2P6 wickets,T1P5 vs T2P7 runs,T1P5 vs T2P7 balls,T1P5 vs T2P7 wickets,T1P5 vs T2P8 runs,T1P5 vs T2P8 balls,T1P5 vs T2P8 wickets,T1P5 vs T2P9 runs,T1P5 vs T2P9 balls,T1P5 vs T2P9 wickets,T1P5 vs T2P10 runs,T1P5 vs T2P10 balls,T1P5 vs T2P10 wickets,T1P5 vs T2P11 runs,T1P5 vs T2P11 balls,T1P5 vs T2P11 wickets,T1P6 vs T2P6 runs,T1P6 vs T2P6 balls,T1P6 vs T2P6 wickets,T1P6 vs T2P7 runs,T1P6 vs T2P7 balls,T1P6 vs T2P7 wickets,T1P6 vs T2P8 runs,T1P6 vs T2P8 balls,T1P6 vs T2P8 wickets,T1P6 vs T2P9 runs,T1P6 vs T2P9 balls,T1P6 vs T2P9 wickets,T1P6 vs T2P10 runs,T1P6 vs T2P10 balls,T1P6 vs T2P10 wickets,T1P6 vs T2P11 runs,T1P6 vs T2P11 balls,T1P6 vs T2P11 wickets,T1P7 vs T2P6 runs,T1P7 vs T2P6 balls,T1P7 vs T2P6 wickets,T1P7 vs T2P7 runs,T1P7 vs T2P7 balls,T1P7 vs T2P7 wickets,T1P7 vs T2P8 runs,T1P7 vs T2P8 balls,T1P7 vs T2P8 wickets,T1P7 vs T2P9 runs,T1P7 vs T2P9 balls,T1P7 vs T2P9 wickets,T1P7 vs T2P10 runs,T1P7 vs T2P10 balls,T1P7 vs T2P10 wickets,T1P7 vs T2P11 runs,T1P7 vs T2P11 balls,T1P7 vs T2P11 wickets,T2P1 vs T1P6 runs,T2P1 vs T1P6 balls,T2P1 vs T1P6 wickets,T2P1 vs T1P7 runs,T2P1 vs T1P7 balls,T2P1 vs T1P7 wickets,T2P1 vs T1P8 runs,T2P1 vs T1P8 balls,T2P1 vs T1P8 wickets,T2P1 vs T1P9 runs,T2P1 vs T1P9 balls,T2P1 vs T1P9 wickets,T2P1 vs T1P10 runs,T2P1 vs T1P10 balls,T2P1 vs T1P10 wickets,T2P1 vs T1P11 runs,T2P1 vs T1P11 balls,T2P1 vs T1P11 wickets,T2P2 vs T1P6 runs,T2P2 vs T1P6 balls,T2P2 vs T1P6 wickets,T2P2 vs T1P7 runs,T2P2 vs T1P7 balls,T2P2 vs T1P7 wickets,T2P2 vs T1P8 runs,T2P2 vs T1P8 balls,T2P2 vs T1P8 wickets,T2P2 vs T1P9 runs,T2P2 vs T1P9 balls,T2P2 vs T1P9 wickets,T2P2 vs T1P10 runs,T2P2 vs T1P10 balls,T2P2 vs T1P10 wickets,T2P2 vs T1P11 runs,T2P2 vs T1P11 balls,T2P2 vs T1P11 wickets,T2P3 vs T1P6 runs,T2P3 vs T1P6 balls,T2P3 vs T1P6 wickets,T2P3 vs T1P7 runs,T2P3 vs T1P7 balls,T2P3 vs T1P7 wickets,T2P3 vs T1P8 runs,T2P3 vs T1P8 balls,T2P3 vs T1P8 wickets,T2P3 vs T1P9 runs,T2P3 vs T1P9 balls,T2P3 vs T1P9 wickets,T2P3 vs T1P10 runs,T2P3 vs T1P10 balls,T2P3 vs T1P10 wickets,T2P3 vs T1P11 runs,T2P3 vs T1P11 balls,T2P3 vs T1P11 wickets,T2P4 vs T1P6 runs,T2P4 vs T1P6 balls,T2P4 vs T1P6 wickets,T2P4 vs T1P7 runs,T2P4 vs T1P7 balls,T2P4 vs T1P7 wickets,T2P4 vs T1P8 runs,T2P4 vs T1P8 balls,T2P4 vs T1P8 wickets,T2P4 vs T1P9 runs,T2P4 vs T1P9 balls,T2P4 vs T1P9 wickets,T2P4 vs T1P10 runs,T2P4 vs T1P10 balls,T2P4 vs T1P10 wickets,T2P4 vs T1P11 runs,T2P4 vs T1P11 balls,T2P4 vs T1P11 wickets,T2P5 vs T1P6 runs,T2P5 vs T1P6 balls,T2P5 vs T1P6 wickets,T2P5 vs T1P7 runs,T2P5 vs T1P7 balls,T2P5 vs T1P7 wickets,T2P5 vs T1P8 runs,T2P5 vs T1P8 balls,T2P5 vs T1P8 wickets,T2P5 vs T1P9 runs,T2P5 vs T1P9 balls,T2P5 vs T1P9 wickets,T2P5 vs T1P10 runs,T2P5 vs T1P10 balls,T2P5 vs T1P10 wickets,T2P5 vs T1P11 runs,T2P5 vs T1P11 balls,T2P5 vs T1P11 wickets,T2P6 vs T1P6 runs,T2P6 vs T1P6 balls,T2P6 vs T1P6 wickets,T2P6 vs T1P7 runs,T2P6 vs T1P7 balls,T2P6 vs T1P7 wickets,T2P6 vs T1P8 runs,T2P6 vs T1P8 balls,T2P6 vs T1P8 wickets,T2P6 vs T1P9 runs,T2P6 vs T1P9 balls,T2P6 vs T1P9 wickets,T2P6 vs T1P10 runs,T2P6 vs T1P10 balls,T2P6 vs T1P10 wickets,T2P6 vs T1P11 runs,T2P6 vs T1P11 balls,T2P6 vs T1P11 wickets,T2P7 vs T1P6 runs,T2P7 vs T1P6 balls,T2P7 vs T1P6 wickets,T2P7 vs T1P7 runs,T2P7 vs T1P7 balls,T2P7 vs T1P7 wickets,T2P7 vs T1P8 runs,T2P7 vs T1P8 balls,T2P7 vs T1P8 wickets,T2P7 vs T1P9 runs,T2P7 vs T1P9 balls,T2P7 vs T1P9 wickets,T2P7 vs T1P10 runs,T2P7 vs T1P10 balls,T2P7 vs T1P10 wickets,T2P7 vs T1P11 runs,T2P7 vs T1P11 balls,T2P7 vs T1P11 wickets,T1P1 last3_bat runs,T1P1 last3_bat balls,T1P1 last3_bat wickets,T1P2 last3_bat runs,T1P2 last3_bat balls,T1P2 last3_bat wickets,T1P3 last3_bat runs,T1P3 last3_bat balls,T1P3 last3_bat wickets,T1P4 last3_bat runs,T1P4 last3_bat balls,T1P4 last3_bat wickets,T1P5 last3_bat runs,T1P5 last3_bat balls,T1P5 last3_bat wickets,T1P6 last3_bat runs,T1P6 last3_bat balls,T1P6 last3_bat wickets,T1P7 last3_bat runs,T1P7 last3_bat balls,T1P7 last3_bat wickets,T2P1 last3_bat runs,T2P1 last3_bat balls,T2P1 last3_bat wickets,T2P2 last3_bat runs,T2P2 last3_bat balls,T2P2 last3_bat wickets,T2P3 last3_bat runs,T2P3 last3_bat balls,T2P3 last3_bat wickets,T2P4 last3_bat runs,T2P4 last3_bat balls,T2P4 last3_bat wickets,T2P5 last3_bat runs,T2P5 last3_bat balls,T2P5 last3_bat wickets,T2P6 last3_bat runs,T2P6 last3_bat balls,T2P6 last3_bat wickets,T2P7 last3_bat runs,T2P7 last3_bat balls,T2P7 last3_bat wickets,T1P6 last3_bowl runs,T1P6 last3_bowl balls,T1P6 last3_bowl wickets,T1P7 last3_bowl runs,T1P7 last3_bowl balls,T1P7 last3_bowl wickets,T1P8 last3_bowl runs,T1P8 last3_bowl balls,T1P8 last3_bowl wickets,T1P9 last3_bowl runs,T1P9 last3_bowl balls,T1P9 last3_bowl wickets,T1P10 last3_bowl runs,T1P10 last3_bowl balls,T1P10 last3_bowl wickets,T1P11 last3_bowl runs,T1P11 last3_bowl balls,T1P11 last3_bowl wickets,T2P6 last3_bowl runs,T2P6 last3_bowl balls,T2P6 last3_bowl wickets,T2P7 last3_bowl runs,T2P7 last3_bowl balls,T2P7 last3_bowl wickets,T2P8 last3_bowl runs,T2P8 last3_bowl balls,T2P8 last3_bowl wickets,T2P9 last3_bowl runs,T2P9 last3_bowl balls,T2P9 last3_bowl wickets,T2P10 last3_bowl runs,T2P10 last3_bowl balls,T2P10 last3_bowl wickets,T2P11 last3_bowl runs,T2P11 last3_bowl balls,T2P11 last3_bowl wickets,T1 wins at stadium,T1 losses at stadium,T2 wins at stadium,T2 losses at stadium,T1 vs T2 win ratio,T2 vs T1 win ratio,Won defending at stadium,Won chasing at stadium,T1 fourth last match result,T1 third last match result,T1 second last match result,T1 last match result,T2 fourth last match result,T2 third last match result,T2 second last match result,T2 last match result,match result
422,,,,,,,,,,,,,,,,,,,,,,,,,5,9,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,12,1,14,5,0,13,9,0,12,10,1,,,,,,,,,,1,2,0,,,,,,,,,,,,,11,6,0,,,,9,5,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,3,7,0,34,28,1,19,13,0,0,1,1,29,26,1,,,,,,,,,,,,,,,,,,,,,,9,4,1,,,,,,,14,9,0,,,,,,,,,,,,,,,,,,,,,,,,,6,5,1,7,5,0,1,2,0,21,10,0,18,10,0,,,,7,4,0,5,7,0,,,,13,8,0,14,8,0,,,,,,,32,9,0,,,,15,11,0,,,,,,,103,86,3,,,,38,39,3,54,45,2,,,,,,,110,90,3,,,,38,41,3,,,,64,54,3,20,20,3,65,46,1,,,,75,66,0,72,66,0,120,72,0,111,72,0,,,,,,,,,,98,52,0,92,66,0,71,66,0,79,72,0,10,18,2,2,55.56,44.44,16,13,1,0,0,1,0,0,1,1,Team2
423,,,,65,36,1,,,,22,25,1,51,34,0,4,3,1,,,,59,44,1,,,,30,25,0,21,20,2,13,15,1,,,,76,62,2,,,,13,15,0,8,7,0,35,31,0,,,,,,,,,,,,,,,,,,,,,,39,27,0,,,,27,11,1,14,8,0,6,12,0,,,,21,10,1,,,,15,15,1,,,,15,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,,,,,,,,,,,,,,,,16,14,1,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,12,16,0,,,,,,,,,,,,,1,2,0,17,9,0,,,,,,,,,,24,27,2,56,50,3,,,,28,28,3,69,73,3,,,,148,113,2,46,37,3,,,,123,98,2,48,30,2,,,,,,,,,,80,72,0,,,,54,54,0,81,71,0,66,66,0,,,,,,,93,72,0,75,72,0,83,72,0,,,,1,2,19,10,63.64,36.36,12,16,0,1,0,1,1,0,0,0,Team2
424,,,,,,,,,,53,39,1,28,22,1,30,21,0,,,,,,,,,,0,3,1,,,,,,,,,,,,,,,,21,15,0,5,9,0,,,,,,,,,,,,,24,17,1,5,9,1,12,5,0,,,,,,,,,,18,11,1,2,4,0,0,1,1,,,,,,,,,,33,24,2,9,7,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,13,12,2,19,14,0,1,1,0,,,,,,,,,,11,11,0,13,10,1,,,,7,10,0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,18,15,0,5,8,1,12,5,1,,,,,,,3,2,0,4,2,0,,,,1,1,0,,,,,,,3,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,88,3,82,67,2,56,53,3,73,58,2,20,20,3,65,46,1,,,,66,66,3,52,55,2,,,,28,23,3,59,41,1,44,36,3,,,,,,,80,54,0,57,48,0,,,,78,72,0,,,,,,,,,,,,,87,66,0,79,72,0,,,,3,1,0,1,45.45,54.55,2,2,0,1,1,1,1,0,0,0,Team1
425,,,,,,,,,,12,12,0,12,4,0,4,3,1,,,,2,3,1,14,8,0,2,3,0,13,18,0,8,6,1,,,,14,7,0,11,6,0,,,,,,,0,1,1,,,,52,32,2,21,23,1,11,7,1,15,8,0,37,39,0,,,,14,13,1,11,10,1,6,2,1,,,,,,,,,,4,7,0,14,11,0,4,1,0,8,7,0,24,12,0,,,,15,14,0,14,14,0,5,5,0,,,,19,9,0,,,,,,,2,9,1,21,19,1,39,20,0,37,25,0,,,,,,,20,19,1,24,23,0,10,8,0,1,4,2,,,,,,,17,6,0,14,8,0,7,8,0,18,15,0,,,,,,,0,2,0,14,14,0,9,4,0,32,12,1,,,,,,,,,,6,4,0,6,2,1,1,1,0,,,,,,,,,,3,6,0,13,5,0,2,3,0,,,,,,,7,5,0,,,,,,,13,8,1,82,73,2,88,75,3,40,34,2,65,55,3,,,,86,72,2,71,42,0,161,108,3,128,108,3,92,62,2,47,36,0,27,35,2,26,19,1,59,52,1,,,,,,,82,72,0,76,72,0,102,72,0,117,67,0,,,,58,66,0,70,72,0,99,66,0,75,48,0,101,66,0,10,19,3,1,27.27,72.73,16,14,0,0,1,0,1,1,1,1,Team2
426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,,,,,,,2,2,1,18,18,1,6,8,0,28,23,3,9,10,0,,,,,,,,,,,,,40,24,2,1,2,1,,,,1,2,1,,,,8,5,0,2,2,0,5,7,0,,,,,,,6,6,0,,,,4,5,0,2,5,1,,,,1,3,0,,,,7,5,1,,,,,,,54,26,0,,,,52,53,1,17,11,0,37,44,0,,,,,,,,,,10,18,0,3,4,0,20,20,3,,,,17,16,3,,,,28,23,0,12,5,1,18,16,0,,,,13,16,2,,,,40,44,1,11,8,0,27,21,0,,,,18,10,2,,,,39,42,1,,,,15,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,52,1,57,53,3,44,44,3,49,47,3,139,90,1,31,21,2,,,,6,13,2,25,32,3,106,57,2,52,55,3,,,,,,,80,45,0,,,,76,72,0,,,,76,72,0,,,,,,,68,72,0,,,,82,71,0,66,54,0,70,66,0,17,8,1,2,50,50,14,11,0,0,0,1,0,0,0,1,Team1
427,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,18,1,9,14,1,45,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,44,2,27,22,1,35,16,1,,,,,,,,,,39,20,0,18,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,14,0,,,,,,,,,,,,,,,,28,27,1,2,3,0,7,8,0,,,,,,,31,35,1,26,16,0,0,2,0,,,,,,,,,,,,,27,25,2,12,12,0,,,,,,,,,,2,5,1,9,10,1,0,1,1,,,,,,,,,,3,2,0,6,3,0,6,3,0,,,,,,,,,,33,24,2,1,4,0,4,3,0,,,,,,,,,,3,3,0,,,,,,,,,,82,73,2,88,75,3,40,34,2,65,55,3,86,72,2,,,,71,42,0,112,91,3,105,84,2,20,13,3,26,34,3,50,33,1,44,35,3,,,,,,,,,,82,72,0,76,72,0,102,72,0,,,,,,,,,,,,,99,66,0,84,72,0,101,66,0,10,20,2,1,54.55,45.45,16,15,0,1,0,0,0,0,0,0,Team2
428,,,,,,,23,15,1,5,5,1,,,,12,11,2,,,,,,,20,19,0,9,9,0,,,,7,7,1,,,,,,,30,15,0,,,,,,,12,6,0,,,,,,,25,15,0,,,,,,,1,1,0,,,,,,,,,,,,,,,,11,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,7,0,,,,5,7,0,10,8,0,,,,,,,19,8,0,,,,14,8,0,13,15,1,7,8,0,,,,31,21,2,,,,2,3,0,4,1,0,17,15,0,,,,13,5,0,,,,,,,,,,16,13,0,,,,,,,,,,,,,,,,14,16,0,,,,13,11,0,,,,,,,,,,38,29,0,,,,,,,,,,,,,,,,,,,,,,70,58,3,,,,66,45,3,56,42,3,42,45,2,,,,,,,161,108,3,128,108,3,92,62,2,59,52,1,27,35,2,47,36,0,26,19,1,78,68,0,,,,67,72,0,74,60,0,,,,66,61,0,,,,,,,70,72,0,99,66,0,75,48,0,101,66,0,0,1,,,50,50,3,1,1,1,1,0,1,1,1,1,Team1
429,,,,26,27,2,20,18,3,3,7,0,40,33,0,11,6,0,,,,13,7,0,24,23,1,,,,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,17,14,2,1,6,0,,,,,,,,,,,,,20,16,1,14,13,1,27,12,0,20,25,1,8,10,0,,,,7,7,0,3,2,0,,,,,,,,,,,,,15,15,0,,,,,,,1,3,0,,,,,,,43,32,0,13,9,1,18,32,2,47,39,3,37,33,2,,,,,,,,,,,,,0,1,1,,,,2,5,0,,,,2,2,0,3,10,1,7,18,1,2,4,1,0,2,0,14,12,0,28,15,1,9,18,0,40,35,2,23,17,0,,,,,,,4,4,0,13,9,0,14,13,1,13,5,0,,,,3,2,0,3,7,0,21,12,0,12,8,0,,,,,,,,,,,,,,,,,,,,,,50,51,3,73,68,3,,,,,,,126,102,3,,,,10,12,1,114,91,2,118,90,2,91,78,3,80,54,2,19,21,3,41,33,2,,,,,,,66,41,0,86,72,0,81,72,0,119,69,0,58,72,0,,,,82,60,0,68,60,0,85,72,0,86,60,0,84,72,0,0,1,4,1,27.27,72.73,3,2,1,0,1,0,1,1,1,1,Team1
430,,,,49,37,1,1,4,0,,,,13,8,0,8,9,1,,,,28,19,1,,,,4,4,0,1,2,1,,,,,,,,,,,,,,,,0,1,1,6,5,0,,,,23,15,1,3,4,0,0,2,0,1,2,0,8,8,1,,,,,,,1,2,0,,,,6,3,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,18,0,,,,,,,38,23,0,14,12,1,,,,19,7,0,,,,,,,25,18,0,11,17,1,,,,5,3,0,,,,,,,23,25,3,14,6,1,,,,,,,,,,,,,,,,,,,,,,9,7,0,2,3,0,,,,28,24,2,5,2,0,,,,5,5,0,8,3,0,,,,34,30,2,5,5,0,,,,1,2,0,,,,,,,9,13,1,,,,63,51,3,,,,141,71,3,89,64,3,71,43,1,,,,,,,85,50,3,31,31,3,39,35,3,,,,115,63,2,55,58,2,28,32,2,,,,93,72,0,84,60,0,,,,78,66,0,82,61,0,,,,69,42,0,72,72,0,,,,108,71,0,85,72,0,2,2,20,10,54.55,45.45,12,17,1,1,0,1,0,0,1,0,Team1
431,,,,,,,15,7,1,13,6,0,5,6,0,5,7,0,,,,24,12,0,1,6,0,14,16,1,29,20,0,,,,,,,,,,,,,12,15,1,2,4,1,1,1,0,3,4,0,39,29,2,4,8,1,7,14,3,14,11,0,18,19,0,,,,,,,,,,,,,,,,,,,,,,14,17,0,,,,11,6,0,20,6,0,16,8,0,,,,,,,0,1,1,8,6,0,4,4,0,4,4,0,,,,,,,,,,14,12,0,,,,10,8,1,,,,,,,,,,18,11,0,,,,,,,,,,,,,15,8,1,16,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,0,,,,,,,,,,,,,,,,,,,76,58,2,20,28,3,34,31,3,99,74,3,,,,107,76,1,83,47,0,38,33,3,76,62,3,132,107,3,42,34,2,,,,,,,26,24,0,,,,,,,,,,88,72,0,,,,,,,,,,46,40,0,74,72,0,92,72,0,94,69,0,47,72,0,10,21,3,2,41.67,58.33,16,16,1,0,0,0,0,1,0,1,Team2
432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,9,8,1,46,36,1,,,,44,40,2,10,11,0,18,18,3,7,5,0,31,34,2,,,,41,61,1,2,4,0,22,23,0,2,3,0,45,24,2,,,,25,22,2,6,4,0,3,4,1,,,,7,3,0,,,,9,9,0,19,10,0,1,2,1,,,,,,,,,,4,5,0,10,7,1,14,11,1,,,,,,,,,,18,21,0,4,8,0,8,10,0,27,25,1,,,,,,,30,22,0,35,39,2,11,4,0,41,31,1,,,,,,,68,61,2,55,45,1,3,3,0,72,41,3,,,,,,,19,20,1,11,16,1,1,1,0,14,11,0,,,,,,,26,19,0,63,47,1,4,3,0,39,26,1,,,,,,,34,24,1,10,17,3,5,3,0,2,4,0,,,,,,,2,4,0,4,6,2,,,,7,11,1,,,,72,65,3,76,57,3,117,88,2,71,44,2,59,35,2,32,16,2,140,106,3,78,75,2,101,65,2,83,50,3,57,37,1,40,25,2,12,8,1,,,,,,,95,72,0,71,72,0,83,72,0,,,,93,66,0,,,,99,60,0,104,66,0,116,72,0,,,,18,8,1,3,57.14,42.86,15,11,0,0,1,1,1,1,1,0,Team2
433,,,,,,,55,26,1,1,5,0,10,7,0,13,6,0,,,,,,,,,,18,9,0,0,1,1,12,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,,,,5,2,0,,,,,,,2,3,1,3,8,0,28,21,0,7,6,0,,,,,,,4,7,1,,,,6,4,0,1,4,0,,,,,,,,,,,,,,,,,,,,,,4,9,1,2,8,1,10,11,0,19,15,1,,,,,,,,,,9,7,1,,,,5,6,0,0,3,1,,,,,,,1,1,0,,,,,,,8,10,1,,,,,,,19,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,0,1,1,2,3,0,10,5,0,,,,,,,9,5,0,7,2,0,2,3,0,,,,8,3,1,61,49,3,,,,,,,160,76,3,129,73,3,56,34,2,,,,159,124,3,129,96,2,24,16,2,27,29,2,,,,44,35,3,48,49,2,,,,65,60,0,99,72,0,91,72,0,,,,92,67,0,,,,,,,77,60,0,101,72,0,88,66,0,94,72,0,1,1,1,0,50,50,4,1,1,0,1,1,0,0,0,1,Team2
434,,,,2,5,1,8,5,0,12,15,1,6,6,1,,,,,,,15,11,0,64,32,2,1,2,0,9,7,1,1,5,0,,,,,,,,,,,,,,,,,,,,,,29,13,1,20,16,0,14,6,1,6,6,0,3,4,0,,,,4,9,0,32,21,0,24,8,2,16,7,0,12,7,0,,,,1,1,0,2,3,1,3,4,0,0,2,1,,,,,,,2,2,1,7,8,1,,,,,,,,,,25,20,1,,,,20,14,1,6,3,0,0,1,1,9,14,0,9,4,0,,,,15,15,1,0,3,0,16,8,0,10,6,0,41,29,0,,,,4,3,0,,,,14,17,1,8,7,0,1,2,0,,,,,,,,,,,,,0,1,1,,,,,,,0,3,0,,,,2,4,0,,,,7,10,0,,,,2,2,0,14,6,0,3,4,0,21,6,0,,,,,,,,,,,,,,,,,,,39,38,3,61,56,3,,,,120,65,3,92,59,2,32,23,2,41,34,2,54,47,2,112,83,3,43,35,3,24,30,2,66,55,3,73,56,2,,,,64,48,0,,,,112,66,0,119,65,0,79,72,0,114,60,0,,,,97,72,0,69,48,0,111,72,0,87,72,0,,,,20,11,1,2,60,40,13,17,0,1,0,0,1,1,1,0,Team2
435,,,,,,,1,4,1,4,5,0,,,,5,3,0,,,,,,,51,52,1,48,37,2,,,,51,39,2,,,,,,,,,,,,,,,,,,,,,,,,,24,32,1,31,30,1,6,4,0,49,26,0,,,,,,,1,2,0,13,14,0,,,,3,5,2,,,,,,,,,,,,,,,,10,6,0,,,,,,,27,24,0,17,14,2,,,,11,14,2,,,,,,,,,,,,,,,,,,,,,,0,3,0,,,,,,,,,,13,7,0,,,,57,32,2,9,10,1,20,21,1,41,33,2,8,7,1,23,15,0,70,47,2,11,12,0,29,44,1,46,49,2,9,9,1,,,,13,14,3,15,14,0,29,33,1,81,38,0,3,4,0,,,,,,,,,,0,4,1,,,,1,4,0,,,,4,2,0,,,,8,9,1,,,,,,,26,25,3,74,64,3,,,,79,65,2,45,33,2,,,,26,24,0,,,,72,65,3,76,57,3,117,88,2,71,44,2,59,35,2,32,16,2,,,,51,46,0,70,66,0,95,72,0,90,66,0,54,72,0,,,,,,,95,72,0,71,72,0,83,72,0,94,66,0,10,9,1,1,45.45,54.55,8,10,1,0,1,1,0,1,1,0,Team2
436,,,,,,,,,,,,,,,,,,,,,,48,29,2,,,,,,,21,13,0,,,,,,,1,1,0,,,,7,2,0,11,9,0,,,,,,,,,,,,,,,,,,,,,,,,,18,10,0,,,,,,,5,4,1,,,,,,,16,17,2,,,,1,2,0,15,17,0,,,,,,,,,,,,,,,,,,,,,,,,,40,16,0,,,,5,6,1,7,5,0,,,,,,,4,4,1,,,,5,5,0,,,,,,,,,,7,6,1,,,,39,32,2,19,13,2,2,6,0,,,,,,,,,,5,7,1,5,5,1,3,4,0,,,,,,,,,,,,,,,,,,,,,,7,8,1,,,,20,23,1,16,14,1,2,3,1,,,,7,8,1,,,,15,25,1,1,2,0,8,5,0,,,,43,35,3,54,47,2,112,83,3,24,30,2,73,56,2,,,,140,106,3,78,75,2,101,65,2,83,50,3,,,,57,37,1,40,25,2,,,,97,72,0,,,,69,48,0,,,,87,72,0,,,,93,66,0,,,,104,66,0,116,72,0,,,,,,1,0,18.18,81.82,2,1,1,1,0,1,1,1,0,1,Team2
437,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,13,0,,,,0,4,0,,,,,,,,,,5,4,0,,,,12,9,0,,,,,,,,,,,,,,,,14,8,0,,,,,,,,,,12,9,0,,,,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,0,1,3,1,0,1,1,15,11,0,,,,,,,4,7,1,9,3,0,,,,2,2,0,,,,,,,,,,1,2,1,,,,,,,,,,,,,8,5,0,36,30,1,7,10,0,,,,,,,,,,,,,52,41,2,,,,,,,,,,,,,,,,,,,,,,,,,61,56,3,41,34,2,39,38,3,120,65,3,92,59,2,,,,,,,41,37,2,72,61,3,53,39,3,41,32,3,72,50,1,126,88,3,60,44,1,,,,,,,112,66,0,,,,79,72,0,,,,,,,,,,,,,76,54,0,,,,,,,20,12,1,2,70,30,13,18,1,0,0,0,0,0,0,0,Team1
